ISBN,Idade,Título,Resumo,Imagem_Lisboa,Autor_Beja,Publicacao_Beja,Colecao_Beja,Assuntos_Beja,CDU_Beja
978-989-8327-72-7,3-5,Estranhas criaturas,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=435938&img=33899&res=150&thb=1&pag=1,"Sitja Rubio, Cristina, 1980-;Afonso, Maria, 1980-, trad.","Lisboa : Orfeu Negro, 2016",Orfeu Mini,Literatura Venezuelana,087.5(5-10)
9789896793920,3-5,O capuchinho,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=428201&img=31270&res=150&thb=1&pag=1,"Woolvin, Bethan","Lisboa : Edicare, 2016",,Estórias sobre o Capuchinho,087.5(0-5)
978-989-557-675-3,3-5,Ciclo do leite,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=429341&img=31538&res=150&thb=1&pag=1,,,,,
978-989-8327-74-1,3-5,Mamã raposa,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=437134&img=34455&res=150&thb=1&pag=1,"Momenceau, Amandine;Afonso, Maria, 1980-, trad.","Lisboa : Orfeu Negro, 2016",Orfeu Mini,,087.5(5-10)
978-989-8327-61-1,3-5,O que aconteceu à minha irmã?,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=423792&img=29493&res=150&thb=1&pag=1,"Ciraolo, Simona;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2016",Orfeu Mini,,087.5(0-5)
978-989-8145-31-4,3-5,Obrigado a todos!,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=352107&img=5679&res=150&thb=1&pag=1,"Martins, Isabel Minhós, 1974-;Carvalho, Bernardo Pego de, 1973-, il.","Carcavelos : Planeta Tangerina, 2011",,,087.5(0-5)
978-972-24-1974-1,3-5,O dragão que não gostava de fogo,"O livro conta a história de Mila e do seu processo de descoberta da sua identidade, reconhecendo e valorizando a diferença que a caracteriza em relação aos outros dragões. Depois de tentar tudo para ser como os outros e deixar o pai orgulhoso, Mila descobre que o pai a ama de qualquer forma e só deseja que seja feliz, tal como é. As ilustrações acrescentam detalhes divertidos e afetuosos à história.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=513703&img=56462&res=100&thb=1&pag=1,"Merino, Gemma;Stilwell, Ana, 1986-, trad.","Lisboa : Livros Horizonte, 2022",Álbuns 58238,Literatura Espanhola,087.5(0-5)
978-989-8327-66-6,3-5,O Sr. Tigre torna-se selvagem,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=423812&img=29488&res=150&thb=1&pag=1,"Brown, Peter, 1979-;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2016",Orfeu Mini,,087.5(0-5)
978-989-8831-13-2,3-5,Este livro comeu o meu cão!,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=435815&img=33812&res=150&thb=1&pag=1,"Bryne, Richard","Amadora : Booksmile, 2016",,,087.5(0-5)
978-989-8166-29-6,3-5,O urso que não era,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=428477&img=31358&res=150&thb=1&pag=1,"Tashlin, Frank, 1913-1972","Figueira da Foz : Bruaá, 2016",,,087.5(5-10)
978-989-23-3422-6,3-5,Gonçalo e a bicharada... e outra história,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=424913&img=30263&res=150&thb=1&pag=1,"Torrado, António, 1939-2021;Marques, Catarina Correia, 1980-, il.","Alfragide : Asa, 2016",Pé ante pé ; 3,,087.5(0-5)
978-989-665-060-5,3-5,História verdadeira e triste de seis homens que procuravam a paz,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=425798&img=30552&res=150&thb=1&pag=1,"McKee, David, 1935-2022","Lisboa : Nuvem de Letras, 2016",,,087.5(5-10)
978-989-8145-71-0,3-5,Os figos são para quem passa,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=428331&img=31305&res=150&thb=1&pag=1,"Abreu, João Gomes de, 1974-;Carvalho, Bernardo Pego de, 1973-, il.","Carcavelos : Planeta Tangerina, 2016",,,087.5(0-5)
978-989-754-209-1,3-5,A viagem de peludim : quem sou? de onde vim? como nasci?,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=422931&img=29537&res=150&thb=1&pag=1,"Rodi, Sara, pseud.;Beliz, Vânia, co-autor;Fernandes, Célia, il.","Barcarena : Marcador, 2016",,,087.5(5-10)
978-989-8327-64-2,3-5,Mamã?,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=428316&img=31298&res=150&thb=1&pag=1,"Haughton, Chris, 1978-;Afonso, Maria, 1980-, trad.","Lisboa : Orfeu Negro, 2021",Orfeu Mini,Literatura Irlandesa,087.5(0-5)
978-989-8327-68-0,3-5,"Baltasar, o grande",,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=428212&img=31289&res=150&thb=1&pag=1,"Sims, Kirsten;Oliveira, Clara, trad.","Lisboa : Orfeu negro, 2016",Orfeu Mini,,087.5(0-5)
978-989-749-058-3,3-5,A viagem da mamã,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=427587&img=31076&res=150&thb=1&pag=1,"Ruiz Johnson, Mariana, 1984-;Ramos, Elisabete, 1976-, trad.","Matosinhos : Kalandraka, 2016",Livros para sonhar,Literatura Argentina,087.5(0-5)
978-989-749-056-9,3-5,Três com Tango,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=427671&img=31104&res=150&thb=1&pag=1,"Richardson, Justin, 1963-;Parnell, Peter, 1955-, co-autor;Cole, Henry, 1955-, il.;Alves, Gabriela Rocha, 1959-, trad.","Matosinhos : Kalandraka, 2016",Livros para sonhar,Literatura Americana,087.5(5-10)
978-989-8205-82-7,3-5,O sonho de Mateus,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=377767&img=13643&res=150&thb=1&pag=1,"Lionni, Leo, 1910-1999","Matosinhos : Kalandraka, 2013",Livros para sonhar,,087.5(0-5)
978-989-8327-47-5,3-5,Este chapéu não é meu,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=405523&img=23140&res=150&thb=1&pag=1,"Klassen, Jon, 1981-;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2015",Orfeu Mini,,087.5(0-5)
978-989-8421-18-0,3-5,Poemas para bocas pequenas [ Registo sonoro ] : audiolivro,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=449127&img=38668&res=150&thb=1&pag=1,,,,,
978-972-20-5769-1,3-5,A garrafa mágica,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=418153&img=27210&res=150&thb=1&pag=1,"Rodi, Sara, pseud.;Rodrigues, João, 1976-, il.","Alfragide : D. Quixote, 2024",,Literatura Portuguesa,087.5(5-10)
978-989-8166-03-6,3-5,O ponto,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=442410&img=36314&res=150&thb=1&pag=1,"Reynolds, Peter Hamilton, 1961-;Gouveia, Miguel, 1962-, trad.","Figueira da Foz : Bruaá, 2011",,,087.5(0-5)
978-972-24-1692-4,3-5,Grande livro dos medos do pequeno rato,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=360769&img=8514&res=150&thb=1&pag=1,,,,,
978-989-99296-7-8,3-5,Na floresta das máscaras,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=428523&img=31372&res=150&thb=1&pag=1,"Moreau, Laurent, 1980-;Marques, Ana, trad.","Lisboa : Rodopio de Letras, 2015",,Literatura Francesa,087.5(5-10)
978-972-21-1983-2,3-5,Sementes de música para bébés e crianças,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=424963&img=30280&res=150&thb=1&pag=1,,,,,
978-989-679-381-4,3-5,Iluminar a noite,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=424154&img=29886&res=150&thb=1&pag=1,"Boyd, Lizi","Lisboa : Edicare, 2015",,Fundo de Imagem,087.5
978-989-55-7961-7,3-5,Ciclo da água,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=371055&img=11394&res=150&thb=1&pag=1,"Quental, Cristina, 1983-;Magalhães, Mariana, 1971-, co-autor;Serra, Sandra, 1968-, il.","Alfragide : Gailivro, 2017",Onde vamos hoje?,ODS 06 - Água potável e saneamento,087.5(5-10)
978-989-749-049-1,3-5,Gatinho e as férias,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=417860&img=27003&res=150&thb=1&pag=1,"Franz Rosell, Joel;Kitzing, Constanze V., 1980-, il.","Matosinhos : Kalandraka, 2015",Livros para sonhar,,087.5(0-5)
978-972-0-72852-4,3-5,Uma história de dedos,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=417293&img=26755&res=150&thb=1&pag=1,"Soares, Luísa Ducla, 1939-;Marques, Catarina Correia, 1980-, il.","Porto : Porto, 2015",,,087.5(5-10)
978-972-793-178-1,3-5,O grande assalto ao queijo,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=409594&img=24338&res=150&thb=1&pag=1,"Warnes, Tim, 1971-;Costa, Pedro, trad.","Estoril : Minutos de Leitura, 2015",,,087.5(0-5)
978-989-557-433-9,3-5,O dia em que a mata ardeu,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=415627&img=26012&res=150&thb=1&pag=1,,,,,
978-972-793-159-0,3-5,Não!,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=409573&img=24317&res=150&thb=1&pag=1,"Corderoy, Tracey;Warnes, Tim, 1971-, il.;Costa, Pedro, trad.","Estoril : Minutos de Leitura, 2013",,,087.5(0-5)
978-989-8327-62-8,3-5,O professor astrogato nas fronteiras do espaço,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=422173&img=28963&res=150&thb=1&pag=1,"Walliman, Dominic;Newman, Ben, il.;Quintas, Nuno, trad.","Lisboa : Orfeu Negro, 2015",Orfeu Mini,Astronomia,087.5:523
978-989-8145-60-4,3-5,Com o tempo,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=395521&img=25960&res=150&thb=1&pag=1,"Martins, Isabel Minhós, 1974-;Matoso, Madalena, 1974-, il.","Carcavelos : Planeta Tangerina, 2014",,,087.5(0-5)
978-989-8145-574,3-5,Este livro está a chamar-te (não ouves?),,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=399719&img=21209&res=150&thb=1&pag=1,"Martins, Isabel Minhós, 1974-;Matoso, Madalena, 1974-, il.","Carcavelos : Planeta Tangerina, 2013",Cantos Redondos,,087.5(5-10)
978-989-665-021-6,3-5,O monstro das cores,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=422018&img=28891&res=150&thb=1&pag=1,"Llenas, Anna, 1977-","Lisboa : Nuvem de Letras, 2017",,Literatura Espanhola,087.5(0-5)
978-989-8145-49-9,3-5,O que há,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=375863&img=13613&res=150&thb=1&pag=1,"Martins, Isabel Minhós, 1974-;Matoso, Madalena, 1974-, il.","Carcavelos : Planeta Tangerina, 2012",,,087.5(5-10)
978-989-6793-54-8,3-5,Oh! o meu chapéu,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=416588&img=26468&res=150&thb=1&pag=1,"Boisrobert, Anouck, 1985-;Rigaud, Louis, 1985-, co-autor","Lisboa : Edicare, 2015",,Literatura Francesa,087.5(0-5)
978-989-95769-1-9,3-5,"Kiko, o dentinho de leite",,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=418345&img=27272&res=150&thb=1&pag=1,"Ribeiro, Manuela Mota;Sá, Mafalda, il.","[Lisboa?] : EBITDA, 2011",,,087.5(0-5)
978-989-99296-6-1,3-5,Antes depois,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=420312&img=28509&res=150&thb=1&pag=1,"Ramstein, Anne-Margot;Aregui, Matthias, co-autor;Marques, Ana, trad.","Lisboa : Rodopio de Letras, 2015",,Fundo de Imagem,087.5(5-10)
978-989-8327-50-5,3-5,Os Nicos em Não fui eu,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=405476&img=23149&res=150&thb=1&pag=1,"Jeffers, Oliver, 1977-;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2015",Orfeu Mini,Literatura Australiana,087.5(0-5)
978-989-707-329-8,3-5,Não deixes o pombo ficar acordado até tarde!,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=409571&img=24363&res=150&thb=1&pag=1,"Willems, Mo","Amadora : Booksmile, 2015",,,087.5(0-5)
978-972-751-945-3,3-5,A minha irmã e eu,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=421141&img=28614&res=150&thb=1&pag=1,,,,,
978-989-67-9359-3,3-5,Bolas de sabão,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=415821&img=26133&res=150&thb=1&pag=1,"Giuliani, Emma","Lisboa : Edicare, 2015",,Literatura Francesa,087.5(0-5)
978-989-749-046-0,3-5,Olá adeus : [os opostos num álbum mágico],,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=415781&img=26071&res=150&thb=1&pag=1,"Chedru, Delphine, 1971-;Noronha, Ana M., trad.","Matosinhos : kalandraka, 2015",Livros para sonhar,,087.5(0-5)
978-989-99296-4-7,3-5,Aí vou eu!,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=415767&img=26059&res=150&thb=1&pag=1,"Tullet, Hervé, 1958-","Lisboa : Rodopio de Letras,",,,087.5(0-5)
978-989-8145-61-1,3-5,ABZZZZ...,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=415518&img=25935&res=150&thb=1&pag=1,"Martins, Isabel Minhós, 1974-;Kono, Yara, 1972-, il.","Carcavelos : Planeta Tangerina, 2014",,Estórias sobre o sono,087.5(5-10)
978-972-793-146-0,3-5,Quem será o meu jantar?,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=419864&img=27890&res=150&thb=1&pag=1,"Freedman, Claire;East, Nick, il.","Estoril : Minutos de leitura, 2015",,,087.5(0-5)
978-989-8775-52-8,3-5,A cruzada das crianças : (vamos mudar o mundo),,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=419598&img=27884&res=150&thb=1&pag=1,"Cruz, Afonso, 1971-","Lisboa : Alfaguara, 2015",,Literatura Portuguesa,087.5(5-10)
978-989-749-028-6,3-5,Onde está o meu sapato?,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=415721&img=26018&res=150&thb=1&pag=1,"Ungerer, Jean-Thomas, 1931-2019","Matosinhos : kalandraka, 2014",,,087.5(0-5)
978-989-749-007-1,3-5,Adelaide,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=397734&img=20493&res=150&thb=1&pag=1,"Ungerer, Jean-Thomas, 1931-2019","Matosinhos : kalandraka, 2014",Livros para sonhar,,087.5(5-10)
978-989-8166-25-8,3-5,O regresso,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=414722&img=25753&res=150&thb=1&pag=1,"Chernysheva, Natalia, 1984-","Figueira da Foz : Bruaá, 2014",,Literatura Russa,087.5(0-5)
978-972-0-70597-6,3-5,Histórias na ponta de um sorriso,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=413558&img=35729&res=150&thb=1&pag=1,"Fanha, José, 1951-;Bicalho, Luciana, il.","Porto : Porto ed., 2014",,,087.5(5-10)
978-972-793-117-0,3-5,Eu e o meu papá!,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=413377&img=25442&res=150&thb=1&pag=1,"Ritchie, Alison;Adgson, Alison, il.","Estoril : Minutos de Leitura, 2010",,,087.5(5-10)
978-972-8781-94-1,3-5,Um presente diferente,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=412977&img=25299&res=150&thb=1&pag=1,"Azcona, Marta;Osuna, Rosa, il.;Buratti, Isabelle, trad.","Matosinhos : Kalandraka, 2008",Livros para sonhar,,087.5(0-5)
978-972-793-135-4,3-5,Atchuuu! : o guia completo das boas maneiras,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=412975&img=40651&res=150&thb=1&pag=1,"Kelly, Mij;McQuillan, Mary, il.","Estoril : Minutos de Leitura, 2009",,,087.5
978-989-749-031-6,3-5,Quem é esse bicho?,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=412929&img=25296&res=150&thb=1&pag=1,"Queralt, Carmen;Noronha, Ana M., il.","Matosinhos : Kalandraka, 2014",Livros para sonhar,,087.5(0-5)
978-989-814-5383,3-5,Todos fazemos tudo,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=358375&img=7935&res=150&thb=1&pag=1,"Matoso, Madalena, 1974-","Carcavelos : Planeta Tangerina, 2011",,Fundo de Imagem,087.5(5-10)
978-989-8327-37-6,3-5,Art & Max,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=409613&img=24360&res=150&thb=1&pag=1,"Wiesner, David;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2014",,,087.5(0-5)
978-989-8166-22-7,3-5,Herberto,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=407694&img=23772&res=150&thb=1&pag=1,"Hawthorne, Lara;Gouveia, Miguel, 1962-, trad.","Figueira da Foz : Bruaá, 2014",,,087.5(0-5)
978-989-749-013-2,3-5,Amigos,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=397738&img=20492&res=150&thb=1&pag=1,"Carle, Eric, 1929-2021;Noronha, Ana M., trad.","Matosinhos : Kaladraka, 2014",,Literatura Americana,087.5(5-10)
978-989-98921-0-1,3-5,Abrigos,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=407739&img=23783&res=150&thb=1&pag=1,"Carvalho, Adélia, 1969-;Remédio, Maria, 1983-, il.","Porto : Tcharan, 2014",,Pré-leitores,087.5(5-10)
978-989-557-913-6,3-5,Dentinho dentola dentão,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=361092&img=8628&res=150&thb=1&pag=1,,,,,
978-989-98115-2-2,3-5,O planeta limpo do Filipe Pinto,,,"Pinto, Filipe;Narciso, Moreira, co-autor;Leite, Ana Sofia, il.","Braga : Betweien Challenge and Sucess, 2013",,,087.5:502
978-989-749-014-9,3-5,Na cozinha da noite,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=401607&img=21782&res=150&thb=1&pag=1,"Sendak, Maurice, 1928-2012","Matosinhos : Kalandraka, 2014",Livros para sonhar,,087.5(0-5)
978-989-8327-33-8,3-5,Quero o meu chapéu,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=401935&img=21927&res=150&thb=1&pag=1,"Klassen, Jon, 1981-;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2014",Orfeu Mini,,087.5(0-5)
978-989-557-673-9,3-5,Ciclo do azeite,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=357986&img=7726&res=150&thb=1&pag=1,,,,,
978-989-557-669-2,3-5,Ciclo do mel,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=357618&img=7597&res=150&thb=1&pag=1,,,,,
978-989-647-453-9,3-5,Irmão oceano,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=388117&img=17133&res=150&thb=1&pag=1,"Letria, José Jorge, 1951-;Castro, Rui, 1974-, il.","Porto : Areal, 2013",Pasta Mágica,Literatura Portuguesa,087.5(5-10)
978-972-662-700-5,3-5,A Mimi no inverno,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=450934&img=39097&res=150&thb=1&pag=1,"Thomas, Valerie, 1938-;Paul, Korky, 1951-, co-autor;Terra, Gonçalo, trad.","Lisboa : Gradiva, 2009",,,087.5(5-10)
978-972-24-1723-5,3-5,O som das lengalengas,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=442137&img=36219&res=150&thb=1&pag=1,"Soares, Luísa Ducla, 1939-;Completo, Daniel, arranjo musical;Carvalho, João Vaz de 1958-, il.","Lisboa : Horizonte, 2011",,Lengalengas,087.5(5-10)
978-989-8205-99-5,3-5,Sopa de rato,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=390404&img=18018&res=150&thb=1&pag=1,"Lobel, Arnold, 1933-1987;Noronha, Ana M., trad.","Matosinhos : Kalandraka, 2013",,Literatura Americana,087.5(0-5)
978-989-8327-31-4,3-5,365 pinguins,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=405627&img=23196&res=150&thb=1&pag=1,"Fromental, Jean-Luc;Jolivet, Joëlle, il.;Afonso, Maria, 1980-, trad.","Lisboa : Orfeu Negro, 2013",Orfeu Mini,,087.5(5-10)
978-989-232-355-8,3-5,Ciclo do chocolate,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=383638&img=26001&res=150&thb=1&pag=1,"Quental, Cristina, 1983-;Magalhães, Mariana, 1971-, co-autor;Serra, Sandra, 1968-, trad.","Alfragide : Gailivro, 2013",Onde vamos hoje,,087.5(5-10)
978-989-8205-95-7,3-5,Ninhos,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=383415&img=15476&res=150&thb=1&pag=1,"Márquez, Pepe;Colombo, Natalia, 1971-, il.;Noronha, Ana M., trad.","Matosinhos : kalandraka, 2013",Livros para sonhar,,087.5(0-5)
978-989-626-462-8,3-5,O pai mais horrível do mundo,,,"Tavares, João Miguel;Fazenda, João, 1979-, il.","Lisboa : A esfera dos Livros, 2013",Puto Reguila ; 3,,087.5(5-10)
978-989-8205-96-4,3-5,Ser amigo,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=383413&img=15488&res=150&thb=1&pag=1,"Papini, Arianna;Noronha, Ana M., il.","Matosinhos : Kalandraka, 2013",,,087.5(5-10)
978-972-23-5136-2,3-5,O dia em que o senhor Bonifácio ficou em casa doente,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=400220&img=21419&res=150&thb=1&pag=1,"Stead, Philip C.;Stead, Erin E., il.","Barcarena : Presença, 2013",,,087.5(5-10)
978-989-8145-56-7,3-5,Uma onda pequenina,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=399710&img=21229&res=150&thb=1&pag=1,"Martins, Isabel Minhós, 1974-;Kono, Yara, 1972-, il.","Carcavelos : Planeta Tangerina, 2013",Cantos Redondos,,087.5(5-10)
978-989-557-674-6,3-5,Ciclo do pão,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=357621&img=7598&res=150&thb=1&pag=1,,,,,
978-989-98470-0-2,3-5,Sombras,,,"Monteiro, Marta","Lisboa : Pato Lógico, 2014",,Imagem,087.5(0-5)
978-989-749-009-5,3-5,A história dos bonobos com óculos,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=395985&img=23092&res=150&thb=1&pag=1,"Turín, Adela;Bosnia, Nella, il.","Matosinhos : Kalandraka, 2013",,,087.5(5-10)
978-989-96717-9-9,3-5,Bestial,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=384529&img=16037&res=150&thb=1&pag=1,"Loba, André da, 1979-","Lisboa : Pato Lógico, 2013",,Pré-leitores,087.5(5-10)
978-989-749-005-7,3-5,Um passeio pelo parque,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=393180&img=18915&res=150&thb=1&pag=1,"Browne, Anthony, 1946-;Noronha, Ana M., trad.","Matosinhos : kalandraka, 2013",Livros para Sonhar,Literatura Inglesa,087.5(0-5)
978-989-8145-54-3,3-5,"Olhe, por favor, não viu uma luzinha a piscar? ; Corre, coelhinho corre!",,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=384859&img=16122&res=150&thb=1&pag=1,"Carvalho, Bernardo Pego de, 1973-","Carcavelos : Planeta Tangerina, 2013",,Fundo de Imagem,087.5(5-10)
978-989-97628-6-2,3-5,Quanto vale a amizade?,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=390654&img=18132&res=150&thb=1&pag=1,"Carvalhas, Maria Lúcia;Pinheiro, Raquel, 1976-, il.","Cascais : Cercica, 2013",Todos a ler ; 1,,087.5(5-10)
